NORTHERN ILLINOIS UNIVERSITY INC,272112,NSF
UNIVERSITY OF TEXAS AT DALLAS,339570,NSF
OREGON STATE UNIVERSITY,11836.21,NSF
UNIVERSITY OF PITTSBURGH THE,405282,NSF
UNIVERSITY OF CALIFORNIA  DAVIS,150000,NSF
PURDUE UNIVERSITY,739239,NSF
UNIVERSITY CORPORATION  THE,297852,NSF
HARVARD COLLEGE  PRESIDENT & FELLOWS OF,800000,NSF
WASHINGTON UNIVERSITY  THE,275000,NSF
JOHNS HOPKINS UNIVERSITY  THE,2313585,NSF
UNIVERSITY OF MARYLAND,63310,NSF
HARVARD COLLEGE  PRESIDENT & FELLOWS OF,137276,NSF
REGENTS OF THE UNIVERSITY OF MINNESOTA,235851,NSF
TECHNICAL EDUCATION RESEARCH CENTERS  INC.,185638,NSF
GEORGIA STATE UNIVERSITY RESEARCH FOUNDATION  INC.,19240,NSF
BRIGHAM YOUNG UNIVERSITY,836066,NSF
UNIVERSITY OF MARYLAND,445231,NSF
UNIVERSITY OF HOUSTON SYSTEM,240617,NSF
UNIVERSITY OF CALIFORNIA  DAVIS,244373,NSF
TEXAS A&M ENGINEERING EXPERIMENT STATION,667000,NSF
